insider_name,insider_title,transaction_date,transaction_code,shares,price_per_share,value,shares_owned_after,is_direct,filing_date,ingested_at,source_url
Susan Wagner,Director,2026-02-01,M,1255.0,,,63746.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Susan Wagner,Director,2026-02-01,M,1255.0,,,0.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Ronald D Sugar,Director,2026-02-01,M,1255.0,,,110566.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Ronald D Sugar,Director,2026-02-01,M,1255.0,,,0.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Monica C Lozano,Director,2026-02-01,M,1255.0,,,9862.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Monica C Lozano,Director,2026-02-01,M,1255.0,,,0.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Arthur D Levinson,Director,2026-02-01,M,1113.0,,,4070689.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Arthur D Levinson,Director,2026-02-01,M,1113.0,,,0.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Andrea Jung,Director,2026-02-01,M,1255.0,,,77260.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Andrea Jung,Director,2026-02-01,M,1255.0,,,0.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Alex Gorsky,Director,2026-02-01,M,1255.0,,,6794.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Alex Gorsky,Director,2026-02-01,M,1255.0,,,0.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Wanda M Austin,Director,2026-02-01,M,1255.0,,,2843.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Wanda M Austin,Director,2026-02-01,M,1255.0,,,0.0,True,2026-02-03,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
Katherine L. Adams,"SVP, GC and Secretary",2025-11-12,G,3750.0,0.0,,175408.0,True,2025-11-14,2026-02-12T17:57:50.378985+00:00,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=4
